player,espnId,position,position_inferred,team,avg_epa,avg_cpoe,plays,pass_attempts,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,position_profile,position_overwritten_from_profile
A.Rodgers,,QB,QB,,,,6,182.0,1270.0,14.0,5.0,0.0,0.0,0,0,0,,False
B.Mayfield,,QB,QB,,,,7,262.0,1767.0,13.0,2.0,0.0,0.0,0,0,0,,False
B.Nix,,QB,QB,,,,7,267.0,1556.0,11.0,4.0,0.0,0.0,0,0,0,,False
B.Purdy,,QB,QB,,,,2,76.0,586.0,4.0,4.0,0.0,0.0,0,0,0,,False
B.Young,,QB,QB,,,,7,235.0,1288.0,11.0,5.0,0.0,0.0,0,0,0,,False
C.Akers,,RB,UNK,,,,1,1.0,32.0,1.0,0.0,0.0,0.0,0,0,0,RB,True
C.Kupp,,WR,UNK,,,,1,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,WR,True
C.Olave,,WR,UNK,,,,1,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,WR,True
C.Rush,,QB,QB,,,,3,53.0,303.0,0.0,4.0,0.0,0.0,0,0,0,,False
C.Stroud,,QB,QB,,,,6,211.0,1305.0,9.0,4.0,0.0,0.0,0,0,0,,False
C.Ward,,QB,QB,,,,7,266.0,1356.0,4.0,5.0,0.0,0.0,0,0,0,,False
C.Wentz,,QB,QB,,,,4,157.0,1072.0,5.0,4.0,0.0,0.0,0,0,0,,False
C.Williams,,QB,QB,,,,6,198.0,1351.0,9.0,3.0,0.0,0.0,0,0,0,,False
D.Gabriel,,QB,QB,,,,5,117.0,546.0,3.0,0.0,0.0,0.0,0,0,0,,False
D.Henry,,RB,UNK,,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,RB,True
D.Jones,,QB,QB,,,,7,224.0,1790.0,10.0,3.0,0.0,0.0,0,0,0,,False
D.Maye,,QB,QB,,,,7,224.0,1744.0,12.0,2.0,0.0,0.0,0,0,0,,False
D.Montgomery,,RB,UNK,,,,1,1.0,3.0,1.0,0.0,0.0,0.0,0,0,0,RB,True
D.Prescott,,QB,QB,,,,7,268.0,1881.0,16.0,3.0,0.0,0.0,0,0,0,,False
G.Smith,,QB,QB,,,,7,222.0,1417.0,7.0,10.0,0.0,0.0,0,0,0,,False
J.Allen,,QB,QB,,,,6,193.0,1397.0,11.0,4.0,0.0,0.0,0,0,0,,False
J.Brissett,,QB,QB,,,,3,89.0,599.0,4.0,1.0,0.0,0.0,0,0,0,,False
J.Browning,,QB,QB,,,,4,133.0,757.0,6.0,8.0,0.0,0.0,0,0,0,,False
J.Burrow,,QB,QB,,,,2,41.0,189.0,2.0,0.0,0.0,0.0,0,0,0,,False
J.Daniels,,QB,QB,,,,5,160.0,1031.0,8.0,1.0,0.0,0.0,0,0,0,,False
J.Dart,,QB,QB,,,,4,131.0,791.0,7.0,3.0,0.0,0.0,0,0,0,,False
J.Fields,,QB,QB,,,,6,160.0,845.0,4.0,0.0,0.0,0.0,0,0,0,,False
J.Flacco,,QB,QB,,,,6,265.0,1376.0,7.0,6.0,0.0,0.0,0,0,0,,False
J.Goff,,QB,QB,,,,7,216.0,1631.0,15.0,3.0,0.0,0.0,0,0,0,,False
J.Herbert,,QB,QB,,,,7,291.0,1913.0,13.0,6.0,0.0,0.0,0,0,0,,False
J.Hurts,,QB,QB,,,,7,217.0,1498.0,11.0,1.0,0.0,0.0,0,0,0,,False
J.Karty,,K,UNK,,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,K,True
J.Love,,QB,QB,,,,6,186.0,1438.0,10.0,2.0,0.0,0.0,0,0,0,,False
J.McCarthy,,QB,QB,,,,2,52.0,301.0,2.0,3.0,0.0,0.0,0,0,0,,False
K.Murray,,QB,QB,,,,5,177.0,962.0,6.0,3.0,0.0,0.0,0,0,0,,False
L.Jackson,,QB,QB,,,,4,111.0,869.0,10.0,1.0,0.0,0.0,0,0,0,,False
M.Jones,,QB,QB,,,,5,206.0,1404.0,6.0,4.0,0.0,0.0,0,0,0,,False
M.Mariota,,QB,QB,,,,3,64.0,426.0,3.0,2.0,0.0,0.0,0,0,0,,False
M.Penix,,QB,QB,,,,6,204.0,1409.0,5.0,3.0,0.0,0.0,0,0,0,,False
M.Stafford,,QB,QB,,,,7,253.0,1866.0,17.0,2.0,0.0,0.0,0,0,0,,False
P.Mahomes,,QB,QB,,,,7,260.0,1800.0,14.0,2.0,0.0,0.0,0,0,0,,False
R.Wilson,,QB,QB,,,,5,120.0,786.0,3.0,3.0,0.0,0.0,0,0,0,,False
S.Darnold,,QB,QB,,,,7,201.0,1754.0,12.0,4.0,0.0,0.0,0,0,0,,False
S.Rattler,,QB,QB,,,,7,250.0,1450.0,8.0,4.0,0.0,0.0,0,0,0,,False
T.Lawrence,,QB,QB,,,,7,280.0,1620.0,9.0,5.0,0.0,0.0,0,0,0,,False
T.Tagovailoa,,QB,QB,,,,7,221.0,1313.0,11.0,10.0,0.0,0.0,0,0,0,,False
T.Taylor,,QB,QB,,,,3,78.0,379.0,3.0,3.0,0.0,0.0,0,0,0,,False
T.Warren,,TE,UNK,,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TE,True
